"","file_names","augspurger_si_mi","mating_opp_si"
"1","T_0.01_F_0.2.csv",1,500001.28
"2","T_0.01_F_1.5.csv",0.760262626262626,185318.94
"3","T_0.01_F_1.csv",0.726919191919192,269590.52
"4","T_0.01_F_10.csv",0.732485833949249,28156.56
"5","T_0.01_F_15.csv",0.630668084352295,18801.12
"6","T_0.01_F_2.csv",0.732027972027972,140994.88
"7","T_0.01_F_20.csv",0.556305479032752,14075.02
"8","T_0.01_F_30.csv",0.49149898989899,9497.5
"9","T_0.01_F_5.csv",0.74416760194538,55556.36
"10","T_0.01_F_7.5.csv",0.701885521885522,38430.58
"11","T_0.1_F_0.2.csv",1,500414.72
"12","T_0.1_F_1.5.csv",0.770707070707071,183668.74
"13","T_0.1_F_1.csv",0.693156565656566,272877.64
"14","T_0.1_F_10.csv",0.687690541781451,28379.54
"15","T_0.1_F_15.csv",0.615165692007797,18855.26
"16","T_0.1_F_2.csv",0.688614718614719,138527.46
"17","T_0.1_F_20.csv",0.565491841491842,14355.6
"18","T_0.1_F_30.csv",0.486394612794613,9498.46
"19","T_0.1_F_5.csv",0.714253647586981,56592.24
"20","T_0.1_F_7.5.csv",0.710791245791246,37597.46
"21","T_1_F_0.2.csv",0.328148148148148,277302.94
"22","T_1_F_1.5.csv",0.699353535353535,156680.3
"23","T_1_F_1.csv",0.67027417027417,187157.86
"24","T_1_F_10.csv",0.684159779614325,27909.84
"25","T_1_F_15.csv",0.631746556473829,19073.9
"26","T_1_F_2.csv",0.702299922299922,125368.96
"27","T_1_F_20.csv",0.57313446969697,14204.74
"28","T_1_F_30.csv",0.488266879319511,9495.86
"29","T_1_F_5.csv",0.717792742237187,54615.04
"30","T_1_F_7.5.csv",0.699068462401796,37742.8
"31","T_10_F_0.2.csv",0.0343434343434343,32875.98
"32","T_10_F_1.5.csv",0.156397306397306,28407.86
"33","T_10_F_1.csv",0.126994949494949,31808.6
"34","T_10_F_10.csv",0.561409443269908,20435.48
"35","T_10_F_15.csv",0.559981634527089,15498.02
"36","T_10_F_2.csv",0.256130536130536,31275.96
"37","T_10_F_20.csv",0.542809042809043,12892.5
"38","T_10_F_30.csv",0.444301994301994,8890.14
"39","T_10_F_5.csv",0.429456099456099,25015.46
"40","T_10_F_7.5.csv",0.519341991341991,22523.86
"41","T_1e-04_F_0.2.csv",1,500000.5
"42","T_1e-04_F_1.5.csv",0.686556473829201,186208.86
"43","T_1e-04_F_1.csv",0.69709595959596,270894.64
"44","T_1e-04_F_10.csv",0.691007751937984,28391.88
"45","T_1e-04_F_15.csv",0.639906472128694,18870.72
"46","T_1e-04_F_2.csv",0.739533799533799,138797.26
"47","T_1e-04_F_20.csv",0.60326816552623,14214.22
"48","T_1e-04_F_30.csv",0.470819588287943,9467.28
"49","T_1e-04_F_5.csv",0.719049756827535,57077.28
"50","T_1e-04_F_7.5.csv",0.665730994152047,37754.76
"51","T_2_F_0.2.csv",0.193939393939394,149235.62
"52","T_2_F_1.5.csv",0.62040404040404,117974.2
"53","T_2_F_1.csv",0.453863636363636,129000.58
"54","T_2_F_10.csv",0.703771043771044,27498.46
"55","T_2_F_15.csv",0.638608305274972,18716.28
"56","T_2_F_2.csv",0.580851370851371,99440.98
"57","T_2_F_20.csv",0.58364898989899,14208.54
"58","T_2_F_30.csv",0.46969955969956,9379.34
"59","T_2_F_5.csv",0.686531986531987,52646.78
"60","T_2_F_7.5.csv",0.71384126984127,36460.5
"61","T_5_F_0.2.csv",0.0765656565656566,65350.24
"62","T_5_F_1.5.csv",0.343691460055096,59982.92
"63","T_5_F_1.csv",0.262575757575758,61063.68
"64","T_5_F_10.csv",0.65154334038055,25480.26
"65","T_5_F_15.csv",0.598868686868687,17880.02
"66","T_5_F_2.csv",0.361298701298701,49176.88
"67","T_5_F_20.csv",0.576145582812249,13846.74
"68","T_5_F_30.csv",0.470119375573921,9206.14
"69","T_5_F_5.csv",0.615524475524476,40046.7
"70","T_5_F_7.5.csv",0.647370851370851,30034.26
"71","T_7.5_F_0.2.csv",0.0461279461279461,39140.24
"72","T_7.5_F_1.5.csv",0.21860422405877,36358.26
"73","T_7.5_F_1.csv",0.162626262626263,40025.2
"74","T_7.5_F_10.csv",0.61261451726568,23258.84
"75","T_7.5_F_15.csv",0.594141414141414,16683.44
"76","T_7.5_F_2.csv",0.293783993783994,37275.24
"77","T_7.5_F_20.csv",0.566836620169954,13275.4
"78","T_7.5_F_30.csv",0.468939393939394,9195.5
"79","T_7.5_F_5.csv",0.522408702408702,31464.66
"80","T_7.5_F_7.5.csv",0.601633477633478,27027.08
