,file_names,Tsd,Fsd,freitas_si,chakra_thesis_si,chakra_new_si,chakra_april_si,mating_opp_si,outcross_opp_si
38,T_2_F_2.csv,2,2,0.302604317,0.09437,0.711647425,0.603667721,5172.4,3774.8
39,T_2_F_20.csv,2,20,0.170376713,0.01407,0.871978918,0.744855727,802,562.8
40,T_2_F_30.csv,2,30,0.207910589,0.00941,0.853866237,0.853866237,558.4,376.4
41,T_2_F_5.csv,2,5,0.308573561,0.05247,0.911919116,0.77340262,2746.8,2098.8
42,T_2_F_7.5.csv,2,7.5,0.256090373,0.03608,0.882355528,0.752895227,1927.6,1443.2
43,T_5_F_10.csv,5,10,0.265917191,0.02603,0.826376206,0.718458953,1430,1041.2
44,T_5_F_15.csv,5,15,0.168873028,0.01766,0.87639568,0.619474522,990,706.4
45,T_5_F_2.csv,5,2,0.090022097,0.02437,0.176071878,0.156920216,2429.6,974.8
46,T_5_F_20.csv,5,20,0.169974147,0.01346,0.826886994,0.640201263,788.8,538.4
47,T_5_F_30.csv,5,30,0.16114534,0.00903,0.805336773,0.705052027,550.4,361.2
48,T_5_F_5.csv,5,5,0.147286276,0.02849,0.496948346,0.334542997,1802.4,1139.6
49,T_5_F_7.5.csv,5,7.5,0.25763554,0.02988,0.741404784,0.653544706,1661.6,1195.2
50,T_7.5_F_10.csv,7.5,10,0.200405285,0.02128,0.644579327,0.576507443,1259.2,851.2
51,T_7.5_F_15.csv,7.5,15,0.172532399,0.01617,0.758459393,0.616648903,942.8,646.8
52,T_7.5_F_2.csv,7.5,2,0.065332227,0.01908,0.13804737,0.101290088,2274,763.2
53,T_7.5_F_20.csv,7.5,20,0.141041205,0.01332,0.789648965,0.536757806,788.8,532.8
54,T_7.5_F_30.csv,7.5,30,0.139687158,0.00936,0.796294122,0.585964789,570,374.4
55,T_7.5_F_5.csv,7.5,5,0.173546466,0.02741,0.458556792,0.389923861,1751.2,1096.4
56,T_7.5_F_7.5.csv,7.5,7.5,0.212537389,0.02802,0.732917333,0.590262643,1574.4,1120.8
