,file_names,Tsd,Fsd,freitas_si,chakra_thesis_si,chakra_new_si,chakra_april_si,mating_opp_si,outcross_opp_si
1,T_0.01_F_10.csv,0.01,10,0.188477209,0.0291,0.914014152,0.638139048,1552.4,1164
2,T_0.01_F_15.csv,0.01,15,0.249923583,0.01817,0.910703301,0.789673618,1004,726.8
3,T_0.01_F_2.csv,0.01,2,0.394877648,0.14099,0.979421279,0.92678086,7133.2,5639.6
4,T_0.01_F_20.csv,0.01,20,0.154343361,0.01466,0.88369479,0.639893043,833.6,586.4
5,T_0.01_F_30.csv,0.01,30,0.163875815,0.00897,0.820665955,0.691155257,550,358.8
6,T_0.01_F_5.csv,0.01,5,0.307261255,0.05527,0.992287374,0.8546764,2835.2,2210.8
7,T_0.01_F_7.5.csv,0.01,7.5,0.238206009,0.03769,0.922786404,0.720332938,2004.4,1507.6
8,T_0.1_F_10.csv,0.1,10,0.248873143,0.02859,0.93037085,0.743781001,1511.2,1143.6
9,T_0.1_F_15.csv,0.1,15,0.225082142,0.01964,0.922657933,0.792434534,1069.2,785.6
10,T_0.1_F_2.csv,0.1,2,0.343173413,0.13493,0.963183659,0.803780067,6900.8,5397.2
11,T_0.1_F_20.csv,0.1,20,0.200957172,0.01445,0.877586778,0.759473575,825.2,578
12,T_0.1_F_30.csv,0.1,30,0.169477383,0.0095,0.827579716,0.725972712,575.2,380
13,T_0.1_F_5.csv,0.1,5,0.313144318,0.05454,0.950795727,0.804491725,2828.8,2181.6
14,T_0.1_F_7.5.csv,0.1,7.5,0.235582317,0.03577,0.917923687,0.719384425,1906.4,1430.8
15,T_1_F_10.csv,1,10,0.266701891,0.02731,0.931400472,0.839049093,1451.2,1092.4
16,T_1_F_15.csv,1,15,0.221928896,0.01878,0.832592497,0.761100361,1060.4,751.2
17,T_1_F_2.csv,1,2,0.260738669,0.11786,0.82909098,0.620446181,6278,4714.4
18,T_1_F_20.csv,1,20,0.198957212,0.01373,0.879321979,0.701940268,775.6,549.2
19,T_1_F_30.csv,1,30,0.178173792,0.00962,0.833039818,0.632561178,574.4,384.8
20,T_1_F_5.csv,1,5,0.324987744,0.0527,0.959867327,0.832038731,2739.6,2108
21,T_1_F_7.5.csv,1,7.5,0.313196051,0.03606,0.91482852,0.812569859,1897.6,1442.4
22,T_10_F_10.csv,10,10,0.233049046,0.02644,0.827651535,0.750948863,1440.8,1057.6
23,T_10_F_15.csv,10,15,0.176453026,0.01446,0.665707726,0.627452737,878,578.4
24,T_10_F_2.csv,10,2,0.185136032,0.06946,0.491708829,0.403512634,4251.2,2778.4
25,T_10_F_20.csv,10,20,0.197559582,0.0138,0.833373452,0.667205584,787.2,552
26,T_10_F_30.csv,10,30,0.144573773,0.00779,0.741249679,0.623479231,496.8,311.6
27,T_10_F_5.csv,10,5,0.192501891,0.03296,0.541527439,0.423290706,1992.8,1318.4
28,T_10_F_7.5.csv,10,7.5,0.107532348,0.01051,0.262617154,0.2496327,889.2,420.4
29,T_1e-04_F_10.csv,0.0001,10,0.169407496,0.02681,0.889442482,0.574139508,1467.6,1072.4
30,T_1e-04_F_15.csv,0.0001,15,0.161025319,0.01736,0.84508181,0.649194259,982.8,694.4
31,T_1e-04_F_2.csv,0.0001,2,0.338867557,0.13613,0.992586513,0.786484835,6895.6,5445.2
32,T_1e-04_F_20.csv,0.0001,20,0.208517051,0.01468,0.879095525,0.734365259,833.2,587.2
33,T_1e-04_F_30.csv,0.0001,30,0.171842146,0.00978,0.849233434,0.677233087,582,391.2
34,T_1e-04_F_5.csv,0.0001,5,0.388240121,0.0604,0.999167875,0.980986057,3091.2,2416
35,T_1e-04_F_7.5.csv,0.0001,7.5,0.285255829,0.03633,0.913447357,0.784465486,1923.2,1453.2
36,T_2_F_10.csv,2,10,0.257991056,0.02587,0.878673023,0.770249892,1408.8,1034.8
37,T_2_F_15.csv,2,15,0.195534333,0.0189,0.904947258,0.699745323,1044,756
