,file_names,Tsd,Fsd,freitas_si,chakra_thesis_si,chakra_new_si,chakra_april_si,augspurger_si,mating_opp_si,outcross_opp_si,mating_opp_rev,outcross_opp_rev
37,T_2_F_15.csv,2,15,0.192747762,0.018510575,0.885433426,0.674552431,0.730834247,5655.066667,5368.066667,118.7100984,112.6746199
38,T_2_F_2.csv,2,2,0.285754118,0.094670575,0.684089786,0.572899855,0.76056471,28908.53333,27454.46667,2761.405537,2622.232356
39,T_2_F_20.csv,2,20,0.170671699,0.014108046,0.879738721,0.665612233,0.665408599,4327.266667,4091.333333,77.0222442,72.8142522
40,T_2_F_30.csv,2,30,0.168285936,0.009552184,0.836023518,0.707362235,0.553147433,2962.2,2770.133333,45.02758992,42.09996721
41,T_2_F_5.csv,2,5,0.232820734,0.052988966,0.902900343,0.617508915,0.844824998,16029.06667,15366.8,723.3242656,693.3590815
42,T_2_F_7.5.csv,2,7.5,0.213039489,0.036654713,0.91015151,0.635920871,0.825887753,11106.93333,10629.86667,361.3126454,345.7740565
43,T_5_F_10.csv,5,10,0.182793901,0.024802299,0.828310312,0.557094025,0.757873042,7566.4,7192.666667,199.9829216,190.0858825
44,T_5_F_15.csv,5,15,0.167731875,0.018136552,0.850377491,0.574659821,0.700291652,5550.733333,5259.6,118.8271755,112.5819682
45,T_5_F_2.csv,5,2,0.119483572,0.042304368,0.298668314,0.234401969,0.424839464,13759.8,12268.26667,1304.756527,1162.975625
46,T_5_F_20.csv,5,20,0.168879561,0.013935172,0.843269599,0.620477411,0.657262408,4283.066667,4041.2,77.02609934,72.6645118
47,T_5_F_30.csv,5,30,0.162008482,0.009125057,0.825489624,0.682774853,0.544695261,2834.933333,2646.266667,42.32352611,39.50155964
48,T_5_F_5.csv,5,5,0.187056116,0.036902759,0.632716401,0.445091211,0.682019919,11357.6,10701.8,510.8492185,481.2822959
49,T_5_F_7.5.csv,5,7.5,0.150538382,0.02981931,0.747534569,0.415874007,0.727837183,9125.2,8647.6,301.1773649,285.402068
50,T_7.5_F_10.csv,7.5,10,0.161595678,0.021643448,0.695070209,0.497635914,0.668665795,6666.466667,6276.6,179.796012,169.2290084
51,T_7.5_F_15.csv,7.5,15,0.156051055,0.01660023,0.771508059,0.518852306,0.667305675,5109.133333,4814.066667,109.0357544,102.7169421
52,T_7.5_F_2.csv,7.5,2,0.104620475,0.037526437,0.269882716,0.197542368,0.394197144,12356.66667,10882.66667,1164.539848,1025.224933
53,T_7.5_F_20.csv,7.5,20,0.142762559,0.013292414,0.814315108,0.511742362,0.636914035,4096.866667,3854.8,73.85407199,69.47846157
54,T_7.5_F_30.csv,7.5,30,0.135016593,0.009033793,0.816277335,0.561408212,0.548861344,2808.066667,2619.8,41.89057672,39.07526085
55,T_7.5_F_5.csv,7.5,5,0.18569707,0.031313793,0.528484426,0.430753099,0.618779809,9741.933333,9081,434.198941,404.676399
56,T_7.5_F_7.5.csv,7.5,7.5,0.17890985,0.026022069,0.664265245,0.484803755,0.675542336,8012.2,7546.4,259.7694175,244.6094645
