,file_names,Tsd,Fsd,freitas_si,chakra_thesis_si,chakra_new_si,chakra_april_si,augspurger_si,mating_opp_si,outcross_opp_si
51,T_2_F_0.2.csv,2.00E+00,0.2,0.140020358,0.171902529,0.249426023,0.205627357,0.34137931,57232.66667,49851.73333
52,T_2_F_1.5.csv,2.00E+00,1.5,0.284351033,0.127510345,0.687894141,0.589109507,0.76892994,38908.93333,36978
53,T_2_F_1.csv,2.00E+00,1,0.204986756,0.133746437,0.495424845,0.395272334,0.618171866,41590.26667,38786.46667
54,T_2_F_10.csv,2.00E+00,10,0.193826709,0.027027356,0.893387902,0.59509232,0.783065529,8214.266667,7837.933333
55,T_2_F_15.csv,2.00E+00,15,0.192747762,0.018510575,0.885433426,0.674552431,0.730834247,5655.066667,5368.066667
56,T_2_F_2.csv,2.00E+00,2,0.285754118,0.094670575,0.684089786,0.572899855,0.76056471,28908.53333,27454.46667
57,T_2_F_20.csv,2.00E+00,20,0.170671699,0.014108046,0.879738721,0.665612233,0.665408599,4327.266667,4091.333333
58,T_2_F_30.csv,2.00E+00,30,0.168285936,0.009552184,0.836023518,0.707362235,0.553147433,2962.2,2770.133333
59,T_2_F_5.csv,2.00E+00,5,0.232820734,0.052988966,0.902900343,0.617508915,0.844824998,16029.06667,15366.8
60,T_2_F_7.5.csv,2.00E+00,7.5,0.213039489,0.036654713,0.91015151,0.635920871,0.825887753,11106.93333,10629.86667
61,T_5_F_0.2.csv,5.00E+00,0.2,0.034966186,0.043013103,0.057887479,0.048329164,0.09348659,20668.13333,12473.8
62,T_5_F_1.5.csv,5.00E+00,1.5,0.133335659,0.058931034,0.321180299,0.253592468,0.449167123,19007.46667,17090
63,T_5_F_1.csv,5.00E+00,1,0.080923339,0.048289885,0.176855817,0.148548857,0.286405309,16834.93333,14004.06667
64,T_5_F_10.csv,5.00E+00,10,0.182793901,0.024802299,0.828310312,0.557094025,0.757873042,7566.4,7192.666667
65,T_5_F_15.csv,5.00E+00,15,0.167731875,0.018136552,0.850377491,0.574659821,0.700291652,5550.733333,5259.6
66,T_5_F_2.csv,5.00E+00,2,0.119483572,0.042304368,0.298668314,0.234401969,0.424839464,13759.8,12268.26667
67,T_5_F_20.csv,5.00E+00,20,0.168879561,0.013935172,0.843269599,0.620477411,0.657262408,4283.066667,4041.2
